o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:type,dcterms:identifier,dcterms:alternative,dcterms:references,ric:hasOrHadCategory,ric:latitude,ric:longitude,gn:parentADM1,gn:population
1291,https://undusting.org/edut710/admin/item/1291,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת מבטחים","junction | צומת",710.Loc.03290,"Mivtahim jct|Mivtahim",,"710_Locations | Israel Location",31.256889,34.403065,,
1290,https://undusting.org/edut710/admin/item/1290,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מוצב סופה","military post | מוצב צבאי",710.Loc.03289,"Sufa Base",,"710_Locations | Israel Location",31.2402695741122,34.3362364083698,,
1289,https://undusting.org/edut710/admin/item/1289,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מוצב כיסופים","military post | מוצב צבאי",710.Loc.03286,"Kisufim Base|Kissufim Base",,"710_Locations | Israel Location",31.3755033791164,34.4073817306006,,
1288,https://undusting.org/edut710/admin/item/1288,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"חוף זיקים","beach | חוף ים",710.Loc.03285,"Zikim Beach",,"710_Locations | Israel Location",31.6126901,34.5045404,,
1287,https://undusting.org/edut710/admin/item/1287,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת בארי","junction | צומת",710.Loc.03284,"Shelter at Be'eri jct",,"710_Locations | Israel Location",31.4299283474857,34.4971577980422,,
1286,https://undusting.org/edut710/admin/item/1286,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת גמה","junction | צומת",710.Loc.03283,"Gamma jct",,"710_Locations | Israel Location",31.3812566120664,34.4472232110629,,
1285,https://undusting.org/edut710/admin/item/1285,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת שער הנגב","junction | צומת",710.Loc.03282,"Sha'ar HaNegev jct",,"710_Locations | Israel Location",31.5083627179843,34.5865975081832,,
1284,https://undusting.org/edut710/admin/item/1284,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת רעים","junction | צומת",710.Loc.03281,"Re'im jct",,"710_Locations | Israel Location",31.3880609362127,34.4510943485888,,
1283,https://undusting.org/edut710/admin/item/1283,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מוצב נחל עוז","military post | מוצב צבאי",710.Loc.03280,"Nahal Oz Base",,"710_Locations | Israel Location",31.4792874887897,34.5015939038425,,
1282,https://undusting.org/edut710/admin/item/1282,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית עלומים מערב","Shelter | מיגונית",710.Loc.03277,"Alumim junction (west) shelter",,"710_Locations | Israel Location",31.450417,34.516389,,
1281,https://undusting.org/edut710/admin/item/1281,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית בארי מערב","Shelter | מיגונית",710.Loc.03276,"Beeri junction (west) shelter",,"710_Locations | Israel Location",31.428806,34.496917,,
1280,https://undusting.org/edut710/admin/item/1280,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית חניון רעים - פסטיבל נובה","Shelter | מיגונית",710.Loc.03275,"Re'im shelter - Nova",,"710_Locations | Israel Location",31.400194,34.47375,,
1279,https://undusting.org/edut710/admin/item/1279,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית צומת רעים מזרח","Shelter | מיגונית",710.Loc.03274,"Re'im junction (east) shelter",,"710_Locations | Israel Location",31.38975,34.459444,,
1278,https://undusting.org/edut710/admin/item/1278,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית בצומת רעים מערב","Shelter | מיגונית",710.Loc.03273,"Re'im junction (west) shelter",,"710_Locations | Israel Location",31.38975,34.458,,
1277,https://undusting.org/edut710/admin/item/1277,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית צומת גמה צפון","Shelter | מיגונית",710.Loc.03272,"Gama junction (north) shelter",,"710_Locations | Israel Location",31.381333,34.447472,,
1276,https://undusting.org/edut710/admin/item/1276,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית צומת גמה מערב","Shelter | מיגונית",710.Loc.03271,"Gama junction (west) shelter",,"710_Locations | Israel Location",31.380889,34.446639,,
1275,https://undusting.org/edut710/admin/item/1275,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מיגונית צומת גמה דרום","Shelter | מיגונית",710.Loc.03270,"Gama junction (south) shelter",,"710_Locations | Israel Location",31.380139,34.447167,,
1270,https://undusting.org/edut710/admin/item/1270,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,כמאנה,"human settlement | ישוב",710.Loc.00001,Kamanneh,https://www.wikidata.org/wiki/Q2890455,"Israel Location",32.91103889,35.33869722,"Misgav Regional Council | משגב",1534
1269,https://undusting.org/edut710/admin/item/1269,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,חברון,"city | עיר",710.Loc.00002,Hebron,https://www.wikidata.org/wiki/Q168225,"Israel Location",31.535,35.09861111,"Hebron Governorate",215452
1268,https://undusting.org/edut710/admin/item/1268,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,סנסנה,"Israeli settlement | ישוב",710.Loc.00003,Sansana,https://www.wikidata.org/wiki/Q2889134,"Israel Location",31.36189722,34.9029,"Har Hevron Regional Council|Israeli-occupied territories | הר חברון",519
1267,https://undusting.org/edut710/admin/item/1267,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"קצר א-סר","human settlement | ישוב",710.Loc.00005,"Qasr Al-sir",https://www.wikidata.org/wiki/Q2633179,"Israel Location",31.08305556,34.97861111,"Neve Midbar Regional Council | נווה מדבר",2731
1266,https://undusting.org/edut710/admin/item/1266,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אעצם (שבט)","village | כפר",710.Loc.00006,"Al A'sam|A'sam",https://www.wikidata.org/wiki/Q108053782,"Israel Location",31.29604111,34.90272164,"Southern District",
1265,https://undusting.org/edut710/admin/item/1265,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אבירים,"human settlement | ישוב",710.Loc.00007,Abirim|Abbirim,https://www.wikidata.org/wiki/Q973977,"Israel Location",33.03956944,35.28740833,"Ma'ale Yosef Regional Council | מעלה יוסף",216
1264,https://undusting.org/edut710/admin/item/1264,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו עבדון (שבט)",,710.Loc.00008,"Abu Abdun",,"Israel Location",,,,
1263,https://undusting.org/edut710/admin/item/1263,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו עמאר (שבט)","village | כפר",710.Loc.00009,"Ras Abu 'ammar|Abu Ammar",https://www.wikidata.org/wiki/Q7294629,"Israel Location",31.73805556,35.09027778,,
1262,https://undusting.org/edut710/admin/item/1262,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו עמרה (שבט)","human settlement | ישוב",710.Loc.00010,"אבו עמרה|Abu Amre",https://www.wikidata.org/wiki/Q6544570,"Israel Location",31.23009859,34.84286044,,
1261,https://undusting.org/edut710/admin/item/1261,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו גוש","human settlement | ישוב",710.Loc.00011,"Abu Ghosh",https://www.wikidata.org/wiki/Q335023,"Israel Location",31.80472222,35.1125,"Jerusalem District",7881
1260,https://undusting.org/edut710/admin/item/1260,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו ג'ווייעד (שבט)","Unrecognized Bedouin villages in Israel | כפר בדואי לא מוכר",710.Loc.00012,"Abu Jeai'ad|Abu Juwei'id",https://www.wikidata.org/wiki/Q112036272,"Israel Location",,,,
1259,https://undusting.org/edut710/admin/item/1259,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו קורינאת (שבט)","human settlement | ישוב",710.Loc.00013,"Abu Qrenat|Abu Qureinat",https://www.wikidata.org/wiki/Q2747921,"Israel Location",31.10203889,34.95300278,"Neve Midbar Regional Council",1904
1258,https://undusting.org/edut710/admin/item/1258,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו קרינאת (יישוב)","human settlement | ישוב",710.Loc.00014,"Abu Qrenat|Abu Qureinat",https://www.wikidata.org/wiki/Q2747921,"Israel Location",31.10203889,34.95300278,"Neve Midbar Regional Council | נווה מדבר",1904
1257,https://undusting.org/edut710/admin/item/1257,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו רובייעה (שבט)",,710.Loc.00015,"Abu Rubei'a",,"Israel Location",,,,
1256,https://undusting.org/edut710/admin/item/1256,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו רוקייק (שבט)",,710.Loc.00016,"Abu Ruqayyeq",,"Israel Location",,,,
1255,https://undusting.org/edut710/admin/item/1255,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו סנאן","human settlement | ישוב",710.Loc.00017,"Abu Snan|Abu Sinan",https://www.wikidata.org/wiki/Q2572624,"Israel Location",32.9575,35.17277778,"Acre Subdistrict",13694
1254,https://undusting.org/edut710/admin/item/1254,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו סריחאן (שבט)",,710.Loc.00018,"Abu Sureihan",,"Israel Location",,,,
1253,https://undusting.org/edut710/admin/item/1253,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אבו תלול","village | כפר",710.Loc.00019,"Abu Talul|Abu Tulul",https://www.wikidata.org/wiki/Q16207439,"Israel Location",31.14205278,34.91435833,"Neve Midbar Regional Council | נווה מדבר",2330
1252,https://undusting.org/edut710/admin/item/1252,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אדמית,"kibbutz | קיבוץ",710.Loc.00020,Adamit,https://www.wikidata.org/wiki/Q351620,"Israel Location",33.07840833,35.21099722,"Mateh Asher Regional Council | מטה אשר",265
1251,https://undusting.org/edut710/admin/item/1251,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עדנים,"moshav | מושב",710.Loc.00021,Adanim,https://www.wikidata.org/wiki/Q2919990,"Israel Location",32.1407,34.90709722,"Drom HaSharon Regional Council | דרום השרון",479
1250,https://undusting.org/edut710/admin/item/1250,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אדרת,"moshav | מושב",710.Loc.00022,Aderet|Adderet,https://www.wikidata.org/wiki/Q2920094,"Israel Location",31.66019722,34.9951,"Mateh Yehuda Regional Council | מטה יהודה",919
1249,https://undusting.org/edut710/admin/item/1249,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אדירים,"moshav | מושב",710.Loc.00023,Adirim|Addirim,https://www.wikidata.org/wiki/Q2777144,"Israel Location",32.54919722,35.27159722,"Gilboa Regional Council | הגלבוע",272
1248,https://undusting.org/edut710/admin/item/1248,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עדי,"human settlement | ישוב",710.Loc.00024,Adi,https://www.wikidata.org/wiki/Q2776320,"Israel Location",32.7834,35.17399722,"Jezreel Valley Regional Council | עמק יזרעאל",1910
1247,https://undusting.org/edut710/admin/item/1247,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אדורה,"human settlement | ישוב",710.Loc.00025,Adora,https://www.wikidata.org/wiki/Q2889094,"Israel Location",31.552222222222,35.018888888889,"Har Hevron Regional Council | הר חברון",462
1246,https://undusting.org/edut710/admin/item/1246,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אפיניש (שבט)","Unrecognized Bedouin villages in Israel | כפר בדואי לא מוכר",710.Loc.00026,Afeinish,https://www.wikidata.org/wiki/Q6493949,"Israel Location",31.31160009,34.98961778,,
1245,https://undusting.org/edut710/admin/item/1245,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אפק,"kibbutz | קיבוץ",710.Loc.00027,Afek|Afeq,https://www.wikidata.org/wiki/Q2916648,"Israel Location",32.83879722,35.128,"Mateh Asher Regional Council | מטה אשר",630
1244,https://undusting.org/edut710/admin/item/1244,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אפיק,"Israeli settlement | קיבוץ",710.Loc.00028,Afik|Afiq,https://www.wikidata.org/wiki/Q285260,"Israel Location",32.77972222,35.70138889,"Golan Regional Council | גולן",345
1243,https://undusting.org/edut710/admin/item/1243,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אפיקים,"human settlement | קיבוץ",710.Loc.00029,Afikim|Afiqim,https://www.wikidata.org/wiki/Q383280,"Israel Location",32.6796,35.5778,"Emek HaYarden Regional Council | עמק הירדן",1497
1242,https://undusting.org/edut710/admin/item/1242,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עפולה,"city | עיר",710.Loc.00030,Afula,https://www.wikidata.org/wiki/Q152462,"Israel Location",32.60777778,35.28972222,"Jezreel Subdistrict",60000
1241,https://undusting.org/edut710/admin/item/1241,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עגור,"moshav | מושב",710.Loc.00031,Agur,https://www.wikidata.org/wiki/Q2778368,"Israel Location",31.69856389,34.91075278,"Mateh Yehuda Regional Council | מטה יהודה",521
1240,https://undusting.org/edut710/admin/item/1240,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחווה,"human settlement | ישוב",710.Loc.00032,"Ahva, Israel|Ahawa",https://www.wikidata.org/wiki/Q2458216,"Israel Location",31.74343333,34.76916389,"Be'er Tuvia Regional Council | באר טוביה",293
1239,https://undusting.org/edut710/admin/item/1239,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחיעזר,"moshav | מושב",710.Loc.00033,Ahi'ezer,https://www.wikidata.org/wiki/Q2920035,"Israel Location",31.98,34.87219722,"Sdot Dan Regional Council | שדות דן",1906
1238,https://undusting.org/edut710/admin/item/1238,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחיהוד,"moshav | מושב",710.Loc.00034,Ahihud,https://www.wikidata.org/wiki/Q2890231,"Israel Location",32.9078,35.1721,"Mateh Asher Regional Council | מטה אשר",859
1237,https://undusting.org/edut710/admin/item/1237,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחיסמך,"human settlement | מושב",710.Loc.00035,Ahisamakh,https://www.wikidata.org/wiki/Q2613039,"Israel Location",31.935,34.90722222,"Hevel Modi'in Regional Council | חבל מודיעין",1377
1236,https://undusting.org/edut710/admin/item/1236,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחיטוב,"moshav | מושב",710.Loc.00036,Ahituv,https://www.wikidata.org/wiki/Q2920033,"Israel Location",32.38972222,34.98916667,"Hefer Valley Regional Council | עמק חפר",1093
1235,https://undusting.org/edut710/admin/item/1235,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אחוזם,"moshav | מושב",710.Loc.00037,Ahuzam|Ahuzzam,https://www.wikidata.org/wiki/Q2889211,"Israel Location",31.55399722,34.76979722,"Lakhish Regional Council | לכיש",539
1234,https://undusting.org/edut710/admin/item/1234,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אחוזת ברק","community settlement | ישוב קהילתי",710.Loc.00038,"Ahuzat Barak|Ahuzzat Baraq",https://www.wikidata.org/wiki/Q2889941,"Israel Location",32.64209722,35.3385,"Jezreel Valley Regional Council | עמק יזרעאל",2279
1233,https://undusting.org/edut710/admin/item/1233,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עכו,"city | עיר",710.Loc.00039,Acre|Akko,https://www.wikidata.org/wiki/Q126084,"Israel Location",32.92611111,35.08388889,"Acre Subdistrict",48900
1232,https://undusting.org/edut710/admin/item/1232,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אל סייד","human settlement | ישוב",710.Loc.00040,"Al-sayyid|Al Sayyid",https://www.wikidata.org/wiki/Q246995,"Israel Location",31.28444444,34.91611111,"Al-Kasom Regional Council | אל קסום",6288
1231,https://undusting.org/edut710/admin/item/1231,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אל-עריאן,"human settlement | ישוב",710.Loc.00041,Al-arian|Al-aryan,https://www.wikidata.org/wiki/Q2829205,"Israel Location",32.49796389,35.12539444,"Menashe Regional Council | מנשה",178
1230,https://undusting.org/edut710/admin/item/1230,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אל-עזי,"human settlement | ישוב",710.Loc.00042,Al-'azi|Al-azy,https://www.wikidata.org/wiki/Q2919999,"Israel Location",31.71805556,34.81416667,"Yoav Regional Council | יואב",184
1229,https://undusting.org/edut710/admin/item/1229,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"עלי זהב","Israeli settlement | ישוב",710.Loc.00043,"Alei Zahav|Ale Zahav",https://www.wikidata.org/wiki/Q2777705,"Israel Location",32.07170278,35.06423889,"Shomron Regional Council | שומרון",4279
1228,https://undusting.org/edut710/admin/item/1228,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלפי מנשה","Israeli settlement | ישוב",710.Loc.00044,"Alfei Menashe|Alfe Menashe",https://www.wikidata.org/wiki/Q1808579,"Israel Location",32.17166667,35.015,"Judea and Samaria Area",7967
1227,https://undusting.org/edut710/admin/item/1227,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלון הגליל","community settlement | ישוב קהילתי",710.Loc.00045,"Alon Hagalil|Allon Hagalil",https://www.wikidata.org/wiki/Q2776865,"Israel Location",32.7571,35.22059722,"Jezreel Valley Regional Council | עמק יזרעאל",1118
1226,https://undusting.org/edut710/admin/item/1226,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלון שבות","Israeli settlement | ישוב",710.Loc.00046,"Alon Shvut|Allon Shevut",https://www.wikidata.org/wiki/Q2117476,"Israel Location",31.65472222,35.12777778,"Gush Etzion Regional Council | גוש עציון",3098
1225,https://undusting.org/edut710/admin/item/1225,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלוני אבא","town | עיירה",710.Loc.00047,"Alonei Abba|Allone Abba",https://www.wikidata.org/wiki/Q2839248,"Israel Location",32.7295,35.17179722,"Northern District|Haifa District | עמק יזרעאל",1000
1224,https://undusting.org/edut710/admin/item/1224,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלוני הבשן","moshav | מושב",710.Loc.00049,"Alonei Habashan|Allone Habashan",https://www.wikidata.org/wiki/Q2889637,"Israel Location",33.0431,35.83789722,"Golan Regional Council | גולן",457
1223,https://undusting.org/edut710/admin/item/1223,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"אלוני יצחק","human settlement | ישוב",710.Loc.00050,"Alonei Yitzhak|Allone Yizhaq",https://www.wikidata.org/wiki/Q2777357,"Israel Location",32.50999722,35.0052,"Menashe Regional Council | מנשה",270
1222,https://undusting.org/edut710/admin/item/1222,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אלונים,"human settlement | קיבוץ",710.Loc.00051,Alonim|Allonim,https://www.wikidata.org/wiki/Q2670809,"Israel Location",32.71972222,35.14416667,"Jezreel Valley Regional Council | עמק יזרעאל",515
1221,https://undusting.org/edut710/admin/item/1221,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עלמה,"moshav | מושב",710.Loc.00052,Alma,https://www.wikidata.org/wiki/Q2777398,"Israel Location",33.0512,35.49989722,"Merom HaGalil Regional Council | מרום הגליל",679
1220,https://undusting.org/edut710/admin/item/1220,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אלמגור,"moshav | מושב",710.Loc.00053,Almagor,https://www.wikidata.org/wiki/Q774890,"Israel Location",32.9125,35.6021,"Emek HaYarden Regional Council | עמק הירדן",383
1219,https://undusting.org/edut710/admin/item/1219,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אלמוג,"Israeli settlement | קיבוץ",710.Loc.00054,Almog,https://www.wikidata.org/wiki/Q2777759,"Israel Location",31.78969722,35.4611,"Judea and Samaria Area | מגילות ים המלח",250
1218,https://undusting.org/edut710/admin/item/1218,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עלמון,"Israeli settlement | ישוב",710.Loc.00055,Almon,https://www.wikidata.org/wiki/Q2845667,"Israel Location",31.8317,35.2954,"Mateh Binyamin Regional Council | מטה בנימין",1441
1217,https://undusting.org/edut710/admin/item/1217,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עלומים,"human settlement | קיבוץ",710.Loc.0055,Alumim,https://www.wikidata.org/wiki/Q2890889,"710_Locations | Israel Location",31.45159722,34.51359722,"Sdot Negev Regional Council | שדות נגב",531
1216,https://undusting.org/edut710/admin/item/1216,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אלומה,"community settlement | ישוב קהילתי",710.Loc.00057,Aluma|Alumma,https://www.wikidata.org/wiki/Q2776697,"Israel Location",31.65129722,34.74369722,"Shafir Regional Council | שפיר",537
1215,https://undusting.org/edut710/admin/item/1215,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אלומות,"human settlement | קיבוץ",710.Loc.00058,Alumot|Alummot,https://www.wikidata.org/wiki/Q2839359,"Israel Location",32.7068,35.54599722,"Emek HaYarden Regional Council | עמק הירדן",381
1214,https://undusting.org/edut710/admin/item/1214,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,אמציה,"moshav | מושב",710.Loc.00059,"Amatzia, Israel|Amazya",https://www.wikidata.org/wiki/Q548627,"Israel Location",31.53259722,34.9136,"Lakhish Regional Council | לכיש",465
1213,https://undusting.org/edut710/admin/item/1213,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,עמיר,"human settlement | קיבוץ",710.Loc.00060,Amir,https://www.wikidata.org/wiki/Q471949,"Israel Location",33.17833333,35.62055556,"Galilee Panhandle | הגליל העליון",542
