File,dcterms:identifier,status,omeka.walls,Location,OmekaIDLocation,LocationsHarpz,harpaz.location,harpas.death.location,note,name yael,harpaz id_,harpaz first and last name,id from btl,Name btl,facet
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,עלומים,1217,עלומים,עלומים,עלומים,,,hrpz:1677,טיאנצאי יוטונגדי,btl:44103,טיאנצאי יוטונגדי,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00792,,2570,בארי,1135,בארי,בארי,בארי,,דרור קפלון,hrpz:91,דרור קפלון,btl:44111,דרור קפלון,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00794,,2572,נטועה,453,,,,,אייל אוזן,,,btl:44112,אייל אוזן,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00785,,2563,,,,,,,אלון שמריז,,,btl:44120,אלון שמריז,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,,,,,,,,,,btl:44133,ישראל דקר דקי חדד,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,שדרות,225,שדרות,שדרות,שדרות,,,hrpz:2007,סאו יונגקאי,btl:44134,יונגקאי סאו,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,,,,,,,,,,btl:44143,פרג'י אפרים מימוני,ביטוח לאומי ללא התאמה
oct7database-יובל-הרפז.csv,Per.710.001169,,2947,עלומים,1217,עלומים,עלומים,עלומים,,רג'אש קומאר סוורנקר,hrpz:21,רג׳ש סווארנקר,43311,,יש התאמה להכל
oct7database-יובל-הרפז.csv,Per.710.001177,,2955,בארי,1135,בארי,בארי,בארי,,חנה קריצמן,hrpz:148,חנה קריצמן,44014,,יש התאמה להכל
oct7database-יובל-הרפז.csv,Per.710.001624,,3402,רעים,289,רעים,רעים,רעים,,יצחק בזוקה שווילי,hrpz:975,יצחק בוזוקשווילי,,,יש התאמה להרפז
oct7database-יובל-הרפז.csv,Per.710.001129,,2907,ניר עוז,422,ניר עוז,ניר עוז,ניר עוז,,פונג'תפ קוסארם,hrpz:1409,פונג׳תפ קוסרם,43407,,יש התאמה להכל
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,ניר עוז,422,ניר עוז,ניר עוז,ניר עוז,,,hrpz:1412,פיצ׳יט נאג׳אן,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,בארי,1135,בארי,בארי,בארי,,,hrpz:1511,סוגיט ניסנקה-יאטווארה,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,עלומים,1217,עלומים,עלומים,עלומים,,,hrpz:1679,צ׳איה רוקסון,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,Per.710.00827,,2605,רעים,289,רעים,רעים,רעים,,פאטי קיאטיסק,hrpz:1688,קיאדטיסאק פטאיי,44109,,יש התאמה להכל
oct7database-יובל-הרפז.csv,Per.710.00728,,2506,מוצב פגה,1317,מוצב פגה,מוצב פגה,מוצב פגה,,חיים מאיר עדן,hrpz:1704,חיים עדן,,,יש התאמה להרפז
oct7database-יובל-הרפז.csv,Per.710.00612,,2390,כרם שלום,674,כרם שלום,כרם שלום,כרם שלום,,שהם משה בן הרוש,hrpz:1707,שהם בן הרוש,,,יש התאמה להרפז
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,שדרות,225,שדרות,שדרות,שדרות,,,hrpz:2023,וולדרפאל האגוס-ברהה,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת שער הנגב,1285,צומת שער הנגב,צומת שער הנגב,צומת שער הנגב,,,hrpz:2024,האשם בראווי,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,,,,,,,,hrpz:2025,סלאח עבד אלדיים,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,,,,,,,,hrpz:2026,אסמעיל אבו רקבה,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת שער הנגב,1285,צומת שער הנגב,צומת שער הנגב,צומת שער הנגב,,,hrpz:2027,סוהייל מסרי,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת שער הנגב,1285,צומת שער הנגב,צומת שער הנגב,צומת שער הנגב,,,hrpz:2028,חורי אלמסרי,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת שער הנגב,1285,צומת שער הנגב,צומת שער הנגב,צומת שער הנגב,,,hrpz:2029,סלימאן אלעטאר,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת שער הנגב,1285,צומת שער הנגב,צומת שער הנגב,צומת שער הנגב,,,hrpz:2030,זיאד גאנם,,,הרפז ללא התאמה
oct7database-יובל-הרפז.csv,Per.710.00583,,2361,בלב ים מול חוף לבנון,,בלב ים מול חוף לבנון,בלב ים מול חוף לבנון,בלב ים מול חוף לבנון,,קאמיי אחיאל,hrpz:2036,קאמיי אחיאל,,,יש התאמה להרפז
oct7database-יובל-הרפז.csv,Per.710.00584,,2362,נירים,417,נירים,נירים,נירים,,עומר ניסים ביתן,hrpz:2037,עומר ביתן,,,יש התאמה להרפז
oct7database-יובל-הרפז.csv,Per.710.00591,,2369,"ליד מוצב נורית, הגליל המערבי",,"ליד מוצב נורית, הגליל המערבי","ליד מוצב נורית, הגליל המערבי","ליד מוצב נורית, הגליל המערבי",,אמיתי צבי גרנות,hrpz:2039,אמתי גרנות,,,יש התאמה להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.00845,נחטפו ונרצחו,2623,ניר יצחק,419,ניר יצחק,ניר יצחק,ניר יצחק,,אורן גולדין,hrpz:652,אורן גולדין,,אורן גולדין,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.00810,נחטפו ונרצחו,2588,ניר עוז,422,ניר עוז,ניר עוז,ניר עוז,,רביד כץ,hrpz:582,רביד כץ,,רביד כץ,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.00809,נחטפו ונרצחו,2587,פסטיבל נובה,6,"עזה; סמוך לביה""ח שיפא",פסטיבל נובה,"עזה; מסגד סמוך לביה""ח שיפא",,אופיר צרפתי,hrpz:29,אופיר צרפתי,btl:44093,אופיר צרפתי,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.00803,נחטפו ונרצחו,2581,ניר עוז,422,"חאן יונס; ביה""ח נאצר",ניר עוז,"חאן יונס; ביה""ח נאצר",,אריה זלמנוביץ,hrpz:648,אריה זלמנוביץ׳,btl:44084,אריה זלמנוביץ,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.00800,נחטפו ונרצחו,2578,פסטיבל נובה,6,"דיר אל בלח; בי""ח חללי אל אקצא",פסטיבל נובה,"דיר אל בלח; בי""ח חללי אל אקצא",,גיא אילוז,hrpz:775,גיא אילוז,btl:44091,גיא אילוז,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.00793,נחטפו ונרצחו,2571,בארי,1135,רצועת עזה,בארי,רצועת עזה,,סהר ברוך,hrpz:1452,סהר ברוך,btl:44114,סהר ברוך,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.00786,נחטפו ונרצחו,2564,כפר עזה,743,שג'אעיה,כפר עזה,ירי בשוגג בשג'אעיה,,יותם חיים,hrpz:310,יותם חיים,btl:44119,יותם חיים,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.00752,נחטפו ונרצחו,2530,מעבר ארז,1292,ג'באליה,מעבר ארז,ג'באליה,,רון שרמן,hrpz:193,רון שרמן,,רון שרמן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.00751,נחטפו ונרצחו,2529,מעבר ארז,1292,ג'באליה,מעבר ארז,ג'באליה,,ניק בייזר,hrpz:192,ניק בייזר,,ניק בייזר,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.00670,נחטפו ונרצחו,2448,מוצב נחל עוז,1283,"עזה; ביה""ח שיפא",מוצב נחל עוז,"עזה; ביה""ח שיפא",,נועה מרציאנו,hrpz:482,נועה מרציאנו,,נועה מרציאנו,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09673,בשבי,1527,,,,,,אין אצל יובל הרפז,הישאם א-סייד,,,,הישאם א-סייד,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09674,בשבי,1526,,,,,,אין אצל יובל הרפז,אברה מנגיסטו,,,,אברה מנגיסטו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09675,נחטפו ונרצחו,1525,,,,,,אין אצל יובל הרפז,הדר גולדין,,,,הדר גולדין,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09676,נחטפו ונרצחו,1524,,,,,,אין אצל יובל הרפז,אורון שאול,,,,אורון שאול,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09677,בשבי,1523,אזור מפלסים,1316,סמוך למפלסים,סמוך למפלסים,סמוך למפלסים,,חנן יבלונקה,hrpz:1335,חנן יבלונקה,,חנן יבלונקה,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09680,בשבי,1520,בארי,1135,מטעים של בארי,מטעים של בארי,מטעים של בארי,,Sonthaya Oakkharasri,hrpz:1734,סונטאיה אקראסי,,Sonthaya Oakkharasri,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09681,בשבי,1519,בארי,1135,מטעים של בארי,מטעים של בארי,מטעים של בארי,,Sudthisak Rinthalak,hrpz:1735,סותטיסאק רינטלאק,,Sudthisak Rinthalak,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09682,בשבי,1518,,,,,,,Bannawat Seathao,,,,Bannawat Seathao,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09683,בשבי,1517,,,,,,,Surasak Rumnao,,,,Surasak Rumnao,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09684,בשבי,1516,,,,,,,Pongsak Thenna,,,,Pongsak Thenna,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09686,בשבי,1514,ניר עוז,422,ניר עוז,ניר עוז,,,נטפונג פינטה,hrpz:2382,נטפונג פינטה,,נטפונג פינטה,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09687,בשבי,1513,ניר עוז,422,ניר עוז,ניר עוז,,,וואטצ'רה סריון,hrpz:2383,סריון וואטצ׳רה,,וואטצ'רה סריון,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09688,בשבי,1512,,,,,,,סטיאן סוונאקאם,,,,סטיאן סוונאקאם,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09689,בשבי,1511,כפר עזה,743,כפר עזה,כפר עזה,,,אמילי תהילה דמארי,hrpz:1559,אמילי דמארי,,אמילי תהילה דמארי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09691,בשבי,1509,בין בארי לגבול,1361,בין בארי לגבול,בין בארי לגבול,בין בארי לגבול,,מוחמד אלטראש,hrpz:1695,מוחמד אלאטרש,,מוחמד אלטראש,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09693,שוחררו,1507,נחל עוז,491,נחל עוז,נחל עוז,,,נטלי רענן,hrpz:425,נטלי רענן,,נטלי רענן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09694,שוחררו,1506,נחל עוז,491,נחל עוז,נחל עוז,,,יהודית רענן,hrpz:424,יהודית רענן,,יהודית רענן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09695,שוחררו,1505,ניר עוז,422,ניר עוז,ניר עוז,,,יוכבד ליפשיץ,hrpz:592,יוכבד ליפשיץ,,יוכבד ליפשיץ,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09696,שוחררו,1504,ניר עוז,422,ניר עוז,ניר עוז,,,נורית קופר,hrpz:557,נורית קופר,,נורית קופר,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09697,שוחררו,1503,מוצב נחל עוז,1283,מוצב נחל עוז,מוצב נחל עוז,,,אורי מגידיש,hrpz:1357,אורי מגידיש,,אורי מגידיש,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09704,שוחררו,1495,,,,,,,פאיבון רטאניל,,,,פאיבון רטאניל,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09705,שוחררו,1494,,,,,,,קונג סאאלאו,,,,קונג סאאלאו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09706,שוחררו,1493,,,,,,,צ'לרמצ'אי סאאנגקאו,,,,צ'לרמצ'אי סאאנגקאו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09707,שוחררו,1492,,,,,,,צ'קרפאן סיקנה,,,,צ'קרפאן סיקנה,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09708,שוחררו,1491,חולית,807,חולית,חולית,,,פאטאיאנוט טונסאקרי,hrpz:1669,פאטאיאנוט טונסאקרי,,פאטאיאנוט טונסאקרי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09709,שוחררו,1490,חולית,807,חולית,חולית,,,אוואט סוריאסי,hrpz:1670,אוואט סוריאסי,,אוואט סוריאסי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09710,בשבי,1489,פסטיבל נובה,6,פסטיבל נובה,פסטיבל נובה,,,אורי דנינו,hrpz:726,אורי דנינו,,אורי דנינו,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09711,שוחררו,1488,עלומים,1217,עלומים,עלומים,,,פונסוואן פינאקאלו,hrpz:1662,פונסוואן פינאגאלו,,פונסוואן פינאקאלו,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09712,שוחררו,1487,כפר עזה,743,כפר עזה,כפר עזה,,,סורין קסונגנן,hrpz:1661,סורין גסונגנן,,סורין קסונגנן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09713,שוחררו,1486,כפר עזה,743,כפר עזה,כפר עזה,,,וויצ'יאן טמטונג,hrpz:1660,וויצ׳אן טמטונג,,וויצ'יאן טמטונג,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09714,בשבי,1485,פסטיבל נובה,6,פסטיבל נובה,פסטיבל נובה,,,עידן שתיוי,hrpz:1329,עידן שתיוי,,עידן שתיוי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09715,בשבי,1484,פסטיבל נובה,6,פסטיבל נובה,פסטיבל נובה,,,מקסים הרקין,hrpz:772,מקסים הרקין,,מקסים הרקין,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09716,שוחררו,1483,רעים,289,רעים,רעים,,,מאני ג'ירצ'אט,hrpz:1657,מאני ג׳ירצ׳אט,,מאני ג'ירצ'אט,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09717,שוחררו,1482,,,,,,,אנוצ'ה אנגקאו,,,,אנוצ'ה אנגקאו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09718,שוחררו,1481,,,,,,,נטהאפון אונקאו,,,,נטהאפון אונקאו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09719,שוחררו,1480,,,,,,,קומקריט צ'ומבואה,,,,קומקריט צ'ומבואה,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09720,שוחררו,1479,ניר עוז,422,ניר עוז,ניר עוז,,,אוטאי סאאנגוואן,hrpz:1652,אוטאי סאאנגוואן,,אוטאי סאאנגוואן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09721,שוחררו,1478,ניר עוז,422,ניר עוז,ניר עוז,,,אוטאי טונסרי,hrpz:1651,אוטאי טונסרי,,אוטאי טונסרי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09722,שוחררו,1477,ניר עוז,422,ניר עוז,ניר עוז,,,בודי סאאנגבון,hrpz:1650,בודי סאאנגבון,,בודי סאאנגבון,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09723,שוחררו,1476,ניר עוז,422,ניר עוז,ניר עוז,,,וויצ'אי קלאפאט,hrpz:1648,וויצ׳אי קלאפאט,,וויצ'אי קלאפאט,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09724,שוחררו,1475,ניר עוז,422,ניר עוז,ניר עוז,,,בנצ'ה קונגמאני,hrpz:1649,בנצ׳ה קונגמאני,,בנצ'ה קונגמאני,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09725,שוחררו,1474,ניר עוז,422,ניר עוז,ניר עוז,,,וויטון פומי,hrpz:1647,וויטון פומי,,וויטון פומי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09726,שוחררו,1473,ישע,62,ישע גידולי אגו,ישע גידולי אגו,,,בונטום פנקונג,hrpz:1645,בונטום פנקונג,,בונטום פנקונג,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09727,שוחררו,1472,ניר עוז,422,ניר עוז,ניר עוז,,,סנטי בונפרום,hrpz:1644,סנטי בונפרום,,סנטי בונפרום,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09728,שוחררו,1471,ניר עוז,422,ניר עוז,ניר עוז,,,מונגקול פג'ואבון,hrpz:1646,מונגקול פג׳ואבון,,מונגקול פג'ואבון,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09729,שוחררו,1470,ישע,62,ישע גידולי אגו,ישע גידולי אגו,,,נטווארי מונקן,hrpz:1632,נטווארי מולקאן,,נטווארי מונקן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09730,בשבי,1469,נחל עוז,491,נחל עוז,נחל עוז,,,מתן אנגרסט,hrpz:404,מתן אנגרסט,,מתן אנגרסט,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09732,בשבי,1467,פסטיבל נובה,6,אזור מפלסים,סמוך למפלסים,סמוך למפלסים,,איציק גלרנטר,hrpz:1600,איציק גלרנטר,,איציק גלרנטר,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09734,בשבי,1465,פסטיבל נובה,6,רעים,רעים,,,רום ברסלבסקי,hrpz:1055,רום ברסלבסקי,,רום ברסלבסקי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09735,בשבי,1464,ניר עוז,422,ניר עוז,ניר עוז,,,עומר נאוטרה,hrpz:1602,עומר נאוטרה,,עומר נאוטרה,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09736,בשבי,1463,פסטיבל נובה,6,פסטיבל נובה,פסטיבל נובה,,,אלכס לובנוב,hrpz:100,אלכס לובנוב,,אלכס לובנוב,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09737,שוחררו,1462,ניר עוז,422,,,,,גליינור (ג'ימי) פאצ'קו,,,,גליינור (ג'ימי) פאצ'קו,אין בטל ואין הרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09738,בשבי,1461,ניר עוז,422,ניר עוז,ניר עוז,,,נמרוד כהן,hrpz:1311,נמרוד כהן,,נמרוד כהן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09742,בשבי,1457,אזור מפלסים,1316,איזור מפלסים,סמוך למפלסים,סמוך למפלסים,,רון בנימין,hrpz:402,רון בנימין,,רון בנימין,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09743,נחטפו ונרצחו,1456,עלומים,1217,עלומים,עלומים,עלומים,,רן גוילי,hrpz:23,רן גואילי,,רן גוילי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09744,בשבי,1455,פסטיבל נובה,6,אזור מפלסים,סמוך למפלסים,סמוך למפלסים,,אוריאל ברוך,hrpz:1338,אוריאל ברוך,btl:44145,אוריאל ברוך,יש התאמה להכל
authorities-edut710-dead-kidnapped.csv,Per.710.09745,בשבי,1454,ניר עוז,422,ניר עוז,ניר עוז,,,אריאל קוניו,hrpz:586,אריאל קוניו,,אריאל קוניו,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09746,שוחררו,1453,ניר עוז,422,ניר עוז,ניר עוז,,,ליאת אצילי,hrpz:547,ליאת אצילי,,ליאת אצילי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09748,בשבי,1451,חולית,807,חולית,חולית,,,יוסף חמיס אלזיאדנה,hrpz:1637,יוסף אלזיאדנה,,יוסף חמיס אלזיאדנה,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09749,בשבי,1450,אזור מפלסים,1316,אזור מפלסים,אזור מפלסים,סמוך למפלסים,,מישל ניסנבאום,hrpz:605,מישל ניסנבאום,,מישל ניסנבאום,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09751,בשבי,1448,ניר עוז,422,ניר עוז,ניר עוז,,,מתן צנגאוקר,hrpz:649,מתן צנגאוקר,,מתן צנגאוקר,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09752,שוחררו,1447,כפר עזה,743,כפר עזה,כפר עזה,,,עמית סוסנה,hrpz:623,עמית סוסנה,,עמית סוסנה,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09753,שוחררו,1446,בארי,1135,בארי,בארי,,,גלי טרשנסקי,hrpz:1667,גלי טרשצ׳נסקי,,גלי טרשנסקי,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09754,שוחררו,1445,ניר עוז,422,ניר עוז,ניר עוז,,,עדה שגיא,hrpz:537,עדה שגיא,,עדה שגיא,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09756,שוחררו,1443,ניר עוז,422,ניר עוז,ניר עוז,,,אופליה רויטמן,hrpz:609,אופליה רויטמן,,אופליה רויטמן,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09757,שוחררו,1442,בארי,1135,בארי,בארי,,,הילה שושני רותם,hrpz:1324,הילה רותם שושני,,הילה שושני רותם,יש התאמה רק להרפז
authorities-edut710-dead-kidnapped.csv,Per.710.09758,שוחררו,1441,בארי,1135,בארי,בארי,,,רעיה רותם,hrpz:1325,רעיה רותם,,רעיה רותם,יש התאמה רק להרפז
